codigo_estacion,5200006,5414001,5404001,5401007,5410002,5410006,5401003,5426004,5403002,5500003,5733008,5510001,5510005,5427006,5510002,5706003,5721017,5721016,5722001,5721001,5722002,5730012,5744002,5730016,5706001,5705001,5737002,5730015,5730039,5703011,5710001,5703009,5711003,5703008,5740005,5702011,5702001,5701008,5701005,6011001,6003001,6000003,6000004,6015003,6013005,6013001,6013008,6028001,6023000,6034003,6020001,330007,330020,330021,330019,330030,CIM00085574,CIM00085577,5716005
1/15/2015,20.06,0,22.87870968,12.38590323,21.50751613,22.46,16.91929032,18.62,20.98703226,17.69822581,,12.235,14.49241935,19.61,16.41,13.56170968,9.659709677,19.64367742,19.87664516,18.78919355,20.55941379,23.77,20.6,22.846,,,20.64854839,,21.61283871,,20.87654839,13.23119355,20.47,16.82,18.09803226,16.68680645,,,,,6.144580645,8.063419355,,,,20.84941935,15.15532258,20.18022581,,,,17.3,22.3,22.2,25.5,17.1,22.16129032,22.32903226,21.81
2/15/2015,19.44,,20.41917857,10.50671429,20.13985714,21.07,14.95992857,18.08,19.48560714,17.29714286,,16.75384211,15.126,,15.9,11.60914286,7.805285714,18.05717857,18.5735,17.35092857,19.51137037,22.67,20.95,21.94228571,,,20.09392857,,20.44325,,19.56785714,11.37232143,19.34,15.06,17.94960714,14.84371429,,,,,5.860785714,15.09040741,,,,19.65921429,13.75003571,19.10242857,,,,17.9,21.4,21.4,24,16.8,21.34642857,21.57857143,20.54
3/15/2015,19.74,,19.59483871,10.73616129,19.31970968,20.18,14.83606452,18.47,18.73983871,18.22351613,,17.69987097,16.68196774,20.07,16.64,11.77848387,8.279612903,17.93170968,18.09464516,16.70803226,19.30125806,22.74,20.74,21.65309677,,,19.924,,20.25990323,,19.2653871,11.597,18.95,15.22,18.28080645,14.69812903,,,,,5.047451613,13.69095833,,,,19.39374194,14.08845161,18.53074194,,,,19.1,21,21,23.6,17.7,21.12258065,20.92903226,19.95
4/15/2015,17.06,,17.57986667,8.311133333,15.81096667,17.8,12.5634,16.33,15.66476667,16.39486667,,15.8096,14.7087,17.56,14.68,10.1072,7.025433333,15.8337,14.70776667,13.74616667,15.83053333,19.18,17.76,17.78253333,,,15.92883333,,17.19043333,,16.3117,9.554366667,15.24,13.01,15.43843333,12.49603333,,,,,4.471066667,11.52788,,,,15.21003333,12.41906667,14.28673333,,,,17.2,16.9,17,19.6,15.5,17.06333333,16.95333333,16.24
5/15/2015,14.16,,13.77222581,4.179258065,11.73225806,13.15,8.093612903,13.69,10.96451613,13.68058065,,13.24270968,12.86209677,14.48,12.64,5.976580645,3.691,12.11887097,11.45296774,10.04145161,12.13606452,15.02,13.32,13.74912903,,,11.77909677,,13.51406452,,12.41196774,5.103655172,11.36,8.19,11.91896774,8.50583871,,,,,3.604935484,9.627090909,,,,11.07648387,5.5635,10.54280645,,,,14.7,12.6,12.5,15.1,12.6,12.46451613,12.83870968,11.58
6/15/2015,12.86,,12.26056667,2.942933333,10.0061,12.1,6.444766667,11.85,8.589933333,12.57306667,,13.01073333,12.4866,13.34,10.61,5.267566667,2.5261,10.62863333,10.0844,8.396533333,10.58906667,13.45,11.23,11.73496667,,,9.2067,,12.13613333,,10.70453333,4.119733333,9.59,6.74,9.3199,7.231033333,,,,,4.158333333,6.536,,,,9.082733333,,8.222233333,,,,14.4,9.9,9.6,12.8,12.5,9.62,10.33,7.867038462
7/15/2015,11.07,,10.26693548,-0.785774194,9.646774194,10.62,2.548258065,,7.872193548,11.59041935,,11.28296774,10.65677419,12.03,9.8,0.627677419,-1.443741935,7.930387097,8.513290323,6.856483871,9.398387097,11.44,10.28,10.61793548,,,8.698419355,,10.16345161,,9.523096774,-0.294,8.52,1.82,8.494419355,3.195580645,,,,,4.091903226,2.1669,,,,8.495419355,,8.490290323,,,,12.3,9.3,9.1,11.4,11,9.174193548,9.409677419,7.668032258
8/15/2015,12.03,,10.76980645,-0.361,11.08529032,11.6,3.271354839,12.96,9.321419355,13.37206452,,12.7813871,11.18019355,13.15,11.42,1.231741935,-0.758451613,8.706516129,9.519064516,8.134870968,10.45177419,12.27,12.34,12.13274194,,,11.09025806,,10.98451613,,10.43158065,0.631258065,10.62,2.47,10.17653846,3.687870968,,,,,4.651033333,5.247,,,,9.91783871,,9.877709677,,,,13.1,11.6,11.4,12.8,12.9,11.43548387,11.67096774,10.58410345
9/15/2015,13.22,,11.4979,0.0096,12.39163333,12.36,4.661066667,14.21,10.4163,14.59056667,,13.475,11.9666,13.89,13.03,1.554133333,-0.867,9.4793,10.61963333,9.1524,11.57166667,13.65,13.52,13.90193333,,,12.59346667,,12.13716667,,11.73636667,0.495266667,12.03,4.15,,3.912733333,,,,,4.537241379,6.075086957,,,,10.90523333,,10.40796667,,12.1,,14.8,13.4,13,15,13.5,13.21724138,13.48928571,11.91746667
10/15/2015,12.51,,10.97519355,0.902419355,12.5756129,12.11,5.675354839,14.06,10.63664516,14.89080645,,13.5386129,10.84771429,14.04,14.06,3.081870968,0.246290323,9.402483871,10.61777419,9.387580645,11.36580645,13.74,13.88,14.00819355,,,12.95045161,,11.71051613,,11.72332258,1.274645161,12.47,5.19,13.64947059,5.051967742,,,,,5.189333333,10.50393548,,,,11.46254839,,11.5416129,,13.25,,14.4,14,13.9,15.5,14.1,14.00645161,13.98387097,12.62216129
11/15/2015,15.22,,14.9402,3.856966667,15.31913333,16.39,9.266366667,16,14.36777778,16.2308,,15.1432,11.76688235,16.16,15.81,6.606966667,2.259733333,12.4169,13.523,12.23893333,14.23016667,,16.4,17.17893333,,,16.0041,,14.98810345,,14.7643,4.9371,15.7,8.67,15.18233333,9.1719,,,,,6.1332,10.76685714,,,,14.91586667,,14.7027,,17.26,,16.4,17.3,17.1,19.2,15.5,17.17,17.23,15.67023333
12/15/2015,18.9,19.3039,17.7225,9.120903226,19.075,20.3,12.66872222,17.3,18.90841176,17.37464516,,16.47319355,14.25535714,18.97,17.28,11.61232258,7.42283871,17.059,17.67422581,16.44154839,18.34132258,21.61,20.11,20.94680645,,,19.06677419,,19.23087097,,18.5866129,9.883258065,18.95,13.69,17.28387097,13.84570968,,,,,6.002483871,11.97425806,,,,18.46341935,,17.8273871,,20.14,,18,20.7,20.5,23.5,16.5,20.62592593,20.73333333,18.40519355
1/15/2016,19.76,20.01932258,20.32725,11.10877419,19.73283871,20.87,15.1236,20.11,19.1146129,19.98732258,,19.07793548,15.8125,21.14,19.27,12.71616129,9.304129032,18.009,18.44096774,17.43587097,19.18177419,21.88,21.73,21.551,,,20.15332258,,19.87483871,,19.51674194,11.5426129,19.84,15.22,19.36387097,15.48590323,,,,,5.816580645,18.53122581,,,,19.72632258,13.384,19.49764516,,21.66,,17.9,21.5,21.5,23.6,19.6,21.57096774,21.23333333,19.92041935
2/15/2016,20.02,21.35065517,21.16031034,12.07751724,20.62334483,22.64,16.56831034,18.85,20.48268966,18.69295652,,17.96978261,17.77014286,20.61,16.91,13.39113793,9.823172414,19.3327931,19.34793103,18.34148276,20.45268966,23.56,,22.42617241,,,20.4417931,,20.86368182,,20.52848276,12.75903448,20.03,16.54,18.63568966,16.64758621,,,,,5.922862069,20.05403448,,,,20.14893103,14.34175,19.47789655,,21.01,,16.9,21.8,22,24.9,17.8,21.85862069,21.28965517,19.80517391
3/15/2016,17.78,19.72916129,19.44441935,10.33619355,18.24012903,20.46,14.97474194,18.15,18.64883871,17.32709677,,16.03,14.09233333,18.87,15.1,11.69132258,8.257419355,18.33206452,17.54480645,16.89029032,18.39112903,21.75,19.63,19.74183871,,,17.62322581,,19.24125806,,18.68716129,11.39380645,17.77,15.36,16.30564516,14.99677419,,,,,4.606612903,18.81158065,,,,17.90764516,14.53654839,17.19812903,,17.3,,14.9,19.3,19.2,22.1,16.6,19.28064516,18.81111111,16.48577419
4/15/2016,14.37,13.4306,13.1463,3.758666667,12.94863333,12.03,7.956566667,15.5,11.72243333,15.551,,15.2406,13.20863333,16.12,12.67,5.1015,3.0539,11.7345,11.80826667,10.857,12.61503333,15.04,15.95,14.69353333,,,13.63226667,,13.54226667,,12.86316667,4.290566667,13.35,8,14.1493,7.5618,,,,,4.670633333,11.79407692,,,,12.73433333,7.3987,20.6225,,11.98,,14,14.3,14.5,15.7,15.2,14.52333333,14.36,13.72689655
5/15/2016,,12.0106129,11.18688,1.773806452,11.47680645,12,6.441419355,14.03,10.10751613,14.22980645,,13.8437,12.63777419,14.65,12.46,4.057548387,1.378225806,10.49806452,10.93422581,9.579451613,,13.74,14.6,13.66296774,,,12.22819355,,12.42264516,,11.97606452,2.938866667,12.73,6.34,12.93029032,6.66416129,,,,,2.493096774,10.87567742,,,,11.73267742,6.345032258,11.36684615,,11.04,,13,13.1,12.7,14.5,14.1,12.81612903,12.82580645,11.86529032
6/15/2016,11.17,9.836366667,10.1681,-0.6536,9.428033333,9.44,2.293066667,10.66,6.4105,10.71773333,,11.26773333,10.8448,11.26,9.5,0.552533333,-0.724466667,8.254866667,8.4128,6.386833333,,11.86,9.77,10.1203,,,7.770133333,,10.5444,,9.268066667,2.411619048,8.95,3.6,7.9496,3.478966667,,,,,3.227793103,7.8132,,,,7.927166667,4.282533333,7.430433333,,6.11,,10.3,9.1,8.3,11.8,10.8,8.37,8.896666667,6.9033
7/15/2016,9.93,9.23416129,9.156677419,-0.985225806,8.922806452,9.02,2.790483871,11.06,7.24737931,11.47458065,,11.47429032,10.72235484,11.68,,1.010225806,-1.405451613,7.643774194,8.042129032,6.523354839,,11.18,11.28,10.5253871,,,8.756419355,,9.967516129,,9.009258065,0.144451613,9.71,3.43,9.605612903,3.344258065,,,,,,7.561709677,,,,8.488548387,3.20083871,8.495483871,,7.94,,10.6,9.6,9,11.5,11.5,9.051612903,9.64,8.146709677
8/15/2016,11.85,11.52567742,12.41757692,1.478903226,10.90380645,11.42,6.048096774,12.32,9.994806452,12.94203226,,13.22722222,11.48703226,13.16,11.56,3.547483871,1.148258065,10.182,9.75816129,8.571774194,,13.27,12.91,12.32880645,,,10.72974194,,11.42412903,,10.85096774,2.718806452,10.72,6.14,11.15003226,5.673741935,,,,,,10.35245161,,,,9.766774194,5.750774194,9.391129032,,9.08,,11.9,11.6,11.1,14,12.7,11.13870968,11.27241379,10.00235484
9/15/2016,13.99,14.2435,16.6885625,3.595666667,13.54093333,14.9,9.214566667,13.27,10.78108333,12.8763,,18.948,11.55993333,13.67,,7.3726,3.504766667,12.51183333,12.32316667,11.15036667,,16.16,14.99,15.14596667,,,14.2865,,14.25373333,,13.79706667,5.191566667,12.95,9.32,12.49476667,8.799933333,,,,,,13.0387,,,,12.31363333,8.012533333,12.11443333,,12.08,,11.6,14.3,13.9,17.2,13.1,13.9,,12.22776667
10/15/2016,15.41,13.97264516,11.6755,3.182677419,14.13470968,14.8,7.951741935,15.33,20.3425,15.31867742,,14.89421429,12.65787097,15.89,,5.470354839,2.339333333,11.40512903,12.38909677,11.13680645,,16.4,16.9,16.38435484,,,16.09658065,,14.34754839,,13.72425806,3.898580645,14.16,7.71,14.51670968,7.787258065,,,,,,13.55366667,,,,13.56929032,6.738258065,13.22890323,,14.13,,13.6,16,15.8,17.9,14.6,15.89032258,,14.14816129
11/15/2016,17.86,17.82513333,21.68566667,7.170033333,17.60433333,,12.067,17.8,16.77333333,16.7723,,16.55216667,14.4998,18.68,,9.354966667,5.2224,15.52893333,16.30053333,14.92793333,,20.76,19.34,20.1602,16.00236667,8.4675,18.35186667,,18.28933333,,17.65706667,8.216833333,17.48,11.75,17.23476667,12.20153333,16.7439,,,,,16.54843333,,,,16.9686,10.73426667,16.37036667,,18.73,,15.6,19.6,19.5,22.4,16.9,19.40344828,,17.23243333
12/15/2016,18.96,18.83051613,18.06748387,9.181677419,18.50080645,20.05,13.56987097,18.41,17.43658065,17.69667742,,17.31309677,14.696,19.45,16.56,10.54387097,6.703064516,16.51496774,18.29803846,15.98125806,,20.71,20.21,20.69690323,17.09483871,9.620096774,15.45971429,,19.35351613,,18.41051613,9.850193548,18.68,13.47,17.92603226,13.79903226,17.94480645,,,,,17.70332258,13.50412903,,,18.40425806,12.29825806,17.91277419,,19.38,,16.3,20.3,20.3,23.1,17.6,20.36666667,,18.25686207
1/15/2017,22.45,22.19903226,21.82935484,13.15777419,21.70703226,,17.23616129,20.62,20.73874194,17.93803226,,18.54345161,18.11054839,21.95,17.61645161,14.50022581,10.67619355,20.5923871,20.79841935,19.17764516,,24.97,21.96783871,24.84558065,20.08403226,10.25487097,16.892,,22.92674194,,21.49312903,13.66629032,21.37516129,17.53,20.69812903,17.46577419,20.94454839,,,23.38529032,,23.40606452,16.30558065,,,21.90758065,15.67980645,21.03622581,,22.72,14.32829032,18.5,24.1,24.2,26.8,18.2,24.36,24.28888889,23.584625
2/15/2017,20.84,20.55471429,19.91503571,10.34635714,20.08042857,21.79,15.02339286,19.39,18.94225,17.99660714,,18.07446429,16.39046429,20.96,16.36221429,11.98528571,8.408035714,21.1,19.04010714,17.77153571,,23.14,20.40785714,22.57435714,18.8695,9.814892857,,,20.88935714,,20.24828571,11.5485,19.65107143,15.43,19.03307143,15.36846429,19.35653571,,,22.84257143,,21.37853571,9.080814815,,,20.54078571,14.23396429,20.03507143,,21.06,12.57882143,17.3,22,22.1,24.6,18.2,22.18214286,21.57777778,19.83135714
3/15/2017,18.57,18.48322581,18.02787097,8.597290323,17.55887097,19.35,13.057,17.83,17.13932258,17.23735484,,17.13012903,15.43790323,19.42,14.59841935,9.895258065,6.829,21.1,16.6233871,15.33325806,,20.67,18.12783871,19.97306452,17.06758065,9.935354839,,,18.57070968,,17.99848387,9.432193548,16.72948387,13.51,17.25367742,13.13970968,17.02119355,,,18.69683871,,17.50074194,-6.723055556,,,17.61122581,12.65190323,16.96841935,,18.88,10.36974194,16.2,19.4,19.6,21.9,16.9,19.6,19.08,17.10622581
4/15/2017,16.25,14.82256667,14.22136667,5.151033333,14.03056667,14.8,9.2954,16.07,12.95553333,15.69763333,,16.88885,14.7893,17.53,13.22216667,6.608233333,4.031966667,21.1,13.05153333,9.769346154,,16.88,14.76104762,16.36776667,13.04556667,9.083566667,16.84875,,14.87896667,,14.3255,5.9888,13.10576667,9.66,15.04456667,9.564533333,12.70043333,,,14.6291,,13.08806667,9.351233333,,,13.59153333,8.6463,13.02126667,,15.45,5.965966667,15.2,15.7,15.9,17.9,15.8,15.91333333,14.86428571,13.57133333
5/15/2017,11.27,10.55503226,9.633483871,0.185451613,9.368290323,10.2,3.887483871,14.79,7.922870968,13.47409677,,13.23509677,11.55306452,13.79,10.19083871,1.26883871,-0.406677419,21.1,8.825,7.369967742,,11.87,11.53609677,11.91174194,8.366709677,8.110935484,15.90566667,,10.67266667,,9.907677419,0.918419355,8.964032258,4.76,11.57135484,4.449387097,7.279387097,,,10.3926129,,8.882322581,4.30083871,,,9.648548387,4.882064516,9.551032258,,11.88,2.145967742,12.1,11.1,11.2,12.8,13.6,11.22258065,10.96551724,10.06564516
6/15/2017,10.71,9.085133333,9.766033333,-0.418366667,8.319066667,9.01,3.091066667,10.44233333,6.7972,11.6831,,12.14163333,10.74206667,11.62,8.728466667,1.214266667,-0.768066667,20.59933333,8.39425,6.195833333,,10.27,8.7385,9.617033333,7.307166667,8.027083333,,,9.475566667,,8.711766667,0.701133333,6.818,3.7,9.187466667,3.539633333,5.474166667,,,7.6467,,7.8396,2.7535,,,7.6717,3.6855,7.454666667,,9.69,1.055433333,10.9,8.4,8.2,10.8,12.2,8.303333333,7.903846154,7.1929
7/15/2017,10.42,9.506419355,10.06680645,1.207548387,8.976290323,10.34,4.685645161,10.26425806,7.585741935,11.23577419,,11.61048387,10.7216129,11.48,8.340387097,2.736193548,0.983451613,8.497806452,7.981967742,6.505677419,,11.28,8.895322581,10.07275,7.959580645,8.11283871,,,10.29880645,,9.314064516,2.22583871,7.264225806,6.15,9.049032258,4.484322581,6.338193548,,,7.934580645,,8.115967742,3.686193548,,,7.791580645,4.770903226,7.264612903,,9.13,1.801096774,10.6,8.8,8.5,11.7,11.6,8.583870968,8.556666667,7.479483871
8/15/2017,9.79,8.916903226,8.813419355,-0.383774194,8.583483871,9.71,3.721225806,10.69287097,7.54348,10.58975,,11.21719355,9.449548387,11.72,8.281903226,1.609935484,-0.994677419,7.277903226,7.505033333,6.226032258,,10.74,9.754870968,10.26674194,7.74562069,8.304241379,,,9.979166667,,8.654870968,0.318806452,7.733419355,4.75,9.831903226,2.649774194,6.589645161,,,8.523423077,,7.237354839,1.321387097,,,7.871580645,2.977032258,7.716064516,,11.46,-0.034516129,10,9.7,9.3,11.5,11.8,9.358064516,9.2,8.346516129
9/15/2017,11.74,11.56323333,11.14213333,2.2502,11.59713333,11.87,6.508933333,12.53986667,11.73992593,,,12.34690909,10.24723333,13.45,9.973733333,4.279666667,0.968933333,9.451933333,9.723433333,8.7514,,12.95,11.99613333,11.21866667,10.18673333,8.634,,,10.996,,11.0766,2.702066667,10.5053,6.4,11.58866667,5.622266667,10.29076667,,,11.57973333,,10.30373333,5.151966667,,,10.48106667,5.329466667,10.07593333,,13.27,2.680166667,11.3,12.3,12,14.2,12.6,12.07333333,12.152,11.0424
10/15/2017,13.99,13.46335484,12.87896774,2.654935484,13.26329032,13.6,7.209612903,14.09177419,12.02787097,0,,13.52861538,10.84741935,14.51,11.13858065,5.186225806,1.534967742,10.59403226,11.10732258,10.16790323,,14.45,13.97535484,13.24748387,11.41812903,8.66783871,,,13.10245161,,12.46,3.457806452,12.75745161,6.7,13.04751613,6.873096774,11.85996774,,,13.92967742,,12.11809677,6.535193548,,,11.83993548,5.636962963,11.60109677,,16.15,2.913290323,12.3,14.5,14.6,16.8,13.4,14.60322581,14.45483871,13.18458065
11/15/2017,18.08,17.34303333,17.02256667,6.4244,17.15546667,18.12,11.1431,16.1241,16.187,0.740583333,,15.1556,13.07086667,17.12,13.35603333,8.498033333,4.4556,14.7017,16.09021739,14.2654,,19.31,16.8167,17.3729,15.23236667,8.47175,,,14.68421429,,16.73583333,7.191,16.72166667,10.6,15.6824,10.8226,15.81603333,,,17.88226667,,16.34673333,9.5216875,,,16.15483333,,15.61996667,,20.03,7.078466667,14.3,18.6,18.6,21.4,15.1,18.53333333,18.53666667,16.35656667
