codigo_estacion,5200006,5414001,5404001,5401007,5410002,5410006,5401003,5426004,5403002,5427007,5500003,5733008,5510001,5732002,5510005,5427006,5510002,5706003,5721017,5721016,5722001,5721001,5720003,5722002,5730012,5744002,5730016,5706001,5705001,5737002,5730015,5730039,5703011,5710001,5703009,5711003,5703008,5740005,5702011,5702001,5701008,5716005,5701005,6011003,6011001,6003001,6000003,6000004,6015003,6013005,6013001,6013008,6028001,6023000,6034003,6020001,330007,330020,330021,330019,330030,CIM00085574,CIM00085577
6/15/2015,4.076666667,,6.673666667,-6.66E-17,3.329333333,3.763333333,2.323333333,2.035714286,3.143333333,,7.546666667,,9.312,,9.582333333,5.026666667,3.433333333,0.803333333,0.17,,5.222666667,3.588,,5.349666667,7.589,3,6.99,,,1.855666667,,7.968,,5.345666667,1.205,-0.310714286,2.870333333,4.386666667,4.026666667,,,-0.823333333,,,,0.703333333,5.252777778,,,,,,3.820333333,,,,8,3.2,1.5,4.3,4.6,1.473076923,3.137931034
7/15/2015,4.307142857,,5.842903226,-3.543870968,4.377419355,4.596774194,-0.974193548,,3.122580645,,7.596774194,,8.159677419,2.732258065,7.888387097,5.716129032,4.64516129,-3.419354839,-4.306451613,,4.808387097,2.709354839,,5.521612903,6.909677419,3.906666667,6.95483871,,,3.671935484,,6.734193548,,5.592580645,-3.21516129,0.874193548,-1.507096774,4.993548387,0.341935484,,,1.686451613,,,,0.409677419,2.467333333,,,,,,4.728709677,,,,7,4.4,3.4,4.9,5.6,3.355555556,4.382758621
8/15/2015,6.148387097,,6.458387097,-3.030967742,5.869677419,5.648387097,-0.212903226,6.936,4.141935484,,9.677419355,,9.85,6.422580645,8.696451613,8.103225806,7.5,-2.429032258,-3.309677419,,5.623225806,3.780322581,,6.50516129,7.664516129,7.239677419,8.583870968,,,6.723870968,,7.24483871,,6.191612903,-2.280322581,4.555806452,-0.821935484,7.976923077,0.903225806,,,5.597741935,,,,0.170967742,2.703,,,,,,6.101290323,,,,8.6,7.2,7,6.8,7.4,6.479166667,6.882758621
9/15/2015,6.806666667,,7.015666667,-3.235666667,6.595333333,6.376666667,0.49,6.94,4.933333333,,10.15666667,,9.881,6.5,9.002666667,8.02,8.333333333,-2.823333333,-3.74,,6.349666667,4.361,,7.288333333,8.34,7.169666667,9.603666667,,,7.081333333,,8.019,,7.143666667,-2.841666667,4.898,-0.143333333,,1.153333333,,,5.749333333,,,,0.063333333,5.836470588,,,,,,6.106,,7.066666667,,9,8,7.2,7.9,7.6,7.068,7.788461538
10/15/2015,6.193548387,,5.719354839,-2.434193548,6.837419355,4.622580645,1.341935484,7.361290323,4.683870968,,9.851612903,,9.608387097,6.948387097,8.404285714,8.083870968,10.21666667,-1.570967742,-2.622580645,,6.206129032,4.41483871,,6.939032258,8.164516129,7.351935484,9.783870968,,,7.540967742,,7.624516129,,6.911612903,-2.208387097,5.549354839,0.812903226,8.194117647,1.722580645,,,6.383870968,,,,0.1,5.672580645,,,,,,6.859677419,,7.538709677,,8.4,8.3,8.1,8.2,7.3,7.984,8.226666667
11/15/2015,7,,7.812666667,0.499666667,8.001666667,7.696666667,4.27,8.853333333,7.388888889,,11.66,,10.69033333,8.416666667,9.158235294,8.893333333,12.3,1.716666667,-0.73,,7.883,6.213666667,,8.478333333,,9.266,11.82,,,9.622666667,,9.624137931,,8.672,1.447,7.886333333,3.73,9.853333333,4.763333333,,,8.433666667,,,,0.253333333,8.513478261,,,,,,8.817333333,,10.52,,9.5,10.5,10.6,10.4,8.7,10.42692308,10.49
12/15/2015,9.434482759,12.038,11.50642857,5.428064516,10.86193548,10.97741935,8.633333333,9.142857143,9.218823529,,12.9,,11.82096774,10.31935484,10.78,10.49677419,12.48387097,6.070967742,4.8,,11.26516129,9.62516129,,11.80129032,12.83333333,10.98709677,14.43354839,,,10.99322581,,12.8716129,,11.35387097,5.955806452,9.429032258,8.470967742,11.09032258,8.993548387,,,9.941935484,,,,0,11.61789474,,,,,,10.38193548,,11.25741935,,10.8,12.3,12.4,12.7,10.2,12.31578947,12.48888889
1/15/2016,11.71724138,14.19032258,13.365,7.661612903,12.4983871,12.38387097,10.65666667,12.29032258,11.69225806,,16.18709677,,15.04806452,12.87419355,12.98416667,13.6516129,14.91935484,7.280645161,6.622580645,13.36190476,13.05806452,11.52903226,,13.6083871,14.68695652,14.30322581,15.9783871,,,13.24967742,,14.32064516,,13.26967742,7.794516129,11.38064516,10.00645161,14.16129032,11.00322581,,,12.10516129,,,,0.016129032,13.1883871,,,,13.53870968,-1.35,13.46451613,,13.9,,13.8,14.5,14.7,14.7,13.7,14.504,14.15416667
2/15/2016,11.24137931,15.0137931,13.3037931,8.226896552,12.43551724,13.16896552,11.26551724,9.744827586,11.50206897,,14.90869565,,14.22130435,12.78275862,13.68857143,12.3862069,10.46296296,7.331034483,7.210344828,14.39310345,13.03241379,11.43655172,,13.74793103,15.00357143,,16.18586207,,,12.15827586,,15.41695652,,13.09724138,8.85137931,9.768965517,10.75413793,12.56551724,11.63793103,,,10.14827586,,,,0,13.99172414,,,,12.71068966,11.145,11.98827586,,11.89655172,,12.8,13.5,13.7,14.3,11.3,13.78461538,13.47931034
3/15/2016,9.187096774,13.79677419,12.66129032,6.949032258,10.79258065,10.93548387,10.13225806,11.41935484,10.20032258,,14.6483871,,13.3716129,12.12903226,12.20380952,12.36774194,10.12903226,6.190322581,5.696774194,13.74516129,11.85354839,10.58129032,,11.95451613,13.67096774,11.80645161,14.23774194,,,10.4916129,,13.76419355,,12.15451613,7.732580645,7.951612903,10.16451613,11.81612903,10.36451613,,,8.677419355,,,,0,13.42548387,,,,10.96645161,11.49483871,10.69870968,,7.74516129,,12.3,11.8,11.5,12.3,12.6,11.576,11.87777778
